ZIPCode,Date,Densite
49002,1968,62.01
49002,1975,63.36
49002,1982,68.54
49002,1990,68.76
49002,1999,70.41
49002,2008,81.03
49002,2013,82.03
49002,2018,82.66
49003,1968,34.25
49003,1975,31.18
49003,1982,32.65
49003,1990,32.72
49003,1999,34.47
49003,2008,41.43
49003,2013,45.1
49003,2018,44.67
49007,1968,3010.0
49007,1975,3221.52
49007,1982,3185.16
49007,1990,3310.79
49007,1999,3542.0
49007,2008,3474.71
49007,2013,3514.98
49007,2018,3617.61
49008,1968,22.58
49008,1975,19.21
49008,1982,17.18
49008,1990,17.09
49008,1999,16.55
49008,2008,21.82
49008,2013,23.63
49008,2018,22.94
49009,1968,26.36
49009,1975,25.07
49009,1982,24.73
49009,1990,23.39
49009,1999,23.17
49009,2008,26.52
49009,2013,26.47
49009,2018,25.97
49010,1968,24.02
49010,1975,19.96
49010,1982,18.3
49010,1990,17.7
49010,1999,17.28
49010,2008,17.22
49010,2013,18.0
49010,2018,18.89
49011,1968,22.39
49011,1975,24.51
49011,1982,44.18
49011,1990,49.62
49011,1999,60.36
49011,2008,67.93
49011,2013,62.48
49011,2018,64.75
49012,1968,60.9
49012,1975,50.94
49012,1982,48.31
49012,1990,49.44
49012,1999,62.78
49012,2008,67.67
49012,2013,69.36
49012,2018,69.17
49015,1968,290.59
49015,1975,592.55
49015,1982,682.51
49015,1990,813.01
49015,1999,820.14
49015,2008,799.43
49015,2013,818.94
49015,2018,887.94
49017,1968,28.53
49017,1975,22.59
49017,1982,23.18
49017,1990,22.36
49017,1999,23.55
49017,2008,32.32
49017,2013,39.08
49017,2018,43.68
49018,1968,40.51
49018,1975,38.46
49018,1982,38.94
49018,1990,38.52
49018,1999,39.22
49018,2008,42.46
49018,2013,44.28
49018,2018,44.01
49020,1968,41.42
49020,1975,72.13
49020,1982,117.17
49020,1990,199.95
49020,1999,250.83
49020,2008,254.55
49020,2013,255.17
49020,2018,273.94
49021,1968,90.82
49021,1975,100.95
49021,1982,118.08
49021,1990,134.23
49021,1999,135.04
49021,2008,154.31
49021,2013,166.72
49021,2018,171.53
49022,1968,74.18
49022,1975,73.87
49022,1982,77.86
49022,1990,76.76
49022,1999,83.65
49022,2008,111.97
49022,2013,110.8
49022,2018,107.2
49023,1968,73.63
49023,1975,78.06
49023,1982,84.63
49023,1990,87.07
49023,1999,87.92
49023,2008,94.0
49023,2013,97.57
49023,2018,101.57
49026,1968,33.85
49026,1975,31.02
49026,1982,39.42
49026,1990,48.78
49026,1999,50.4
49026,2008,57.09
49026,2013,59.61
49026,2018,60.56
49027,1968,78.39
49027,1975,85.77
49027,1982,98.15
49027,1990,103.97
49027,1999,104.72
49027,2008,119.56
49027,2013,135.23
49027,2018,142.89
49028,1968,38.46
49028,1975,45.25
49028,1982,42.08
49028,1990,42.53
49028,1999,49.77
49028,2008,57.47
49028,2013,53.85
49028,2018,56.56
49029,1968,34.5
49029,1975,32.98
49029,1982,39.51
49029,1990,42.42
49029,1999,46.45
49029,2008,51.09
49029,2013,50.68
49029,2018,52.2
49030,1968,40.4
49030,1975,38.35
49030,1982,37.23
49030,1990,35.04
49030,1999,38.4
49030,2008,46.51
49030,2013,47.2
49030,2018,46.37
49035,1968,84.86
49035,1975,162.7
49035,1982,253.1
49035,1990,292.73
49035,1999,310.6
49035,2008,295.46
49035,2013,332.61
49035,2018,343.06
49036,1968,56.43
49036,1975,47.25
49036,1982,46.42
49036,1990,45.54
49036,1999,40.41
49036,2008,46.17
49036,2013,46.36
49036,2018,47.63
49038,1968,60.3
49038,1975,48.2
49038,1982,39.13
49038,1990,37.43
49038,1999,40.45
49038,2008,40.64
49038,2013,43.67
49038,2018,46.31
49041,1968,41.0
49041,1975,44.57
49041,1982,51.26
49041,1990,54.05
49041,1999,53.81
49041,2008,59.09
49041,2013,59.63
49041,2018,60.65
49045,1968,12.11
49045,1975,10.19
49045,1982,9.79
49045,1990,12.51
49045,1999,16.1
49045,2008,21.25
49045,2013,21.33
49045,2018,21.76
49048,1968,54.34
49048,1975,81.51
49048,1982,117.86
49048,1990,140.41
49048,1999,159.8
49048,2008,182.0
49048,2013,195.31
49048,2018,212.61
49050,1968,46.48
49050,1975,46.14
49050,1982,54.84
49050,1990,65.51
49050,1999,70.17
49050,2008,83.43
49050,2013,88.63
49050,2018,89.83
49053,1968,60.33
49053,1975,70.35
49053,1982,58.46
49053,1990,62.63
49053,1999,50.73
49053,2008,64.3
49053,2013,75.57
