,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,latitude,longitude,result_score,moy_vf_10_plus_proches,moy_dist_10_plus_proches,densite_pop,prix_m2
0,05/01/2022,Vente,300000.0,0,1,137.0,6.0,1646.0,47.616934,-0.474118,0.73,1650000.0,43.04755139034863,74.72,182.26002430133659
1,05/01/2022,Vente,300000.0,0,1,137.0,6.0,500.0,47.616934,-0.474118,0.73,1650000.0,43.04755139034863,74.72,600.0
2,07/01/2022,Vente,316500.0,0,1,54.0,3.0,119.0,47.475606,-0.535905,0.63,1740750.0,13.35544851410251,24.31,2659.6638655462184
3,10/01/2022,Vente,398000.0,0,1,138.0,7.0,505.0,47.617099,-0.464666,0.79,2189000.0,40.35342144994044,74.72,788.1188118811881
4,10/01/2022,Vente,650000.0,0,1,151.0,5.0,377.0,47.466873,-0.537922,0.82,3575000.0,19.482151075861214,24.31,1724.1379310344828
5,12/01/2022,Vente,222000.0,0,1,90.0,4.0,910.0,47.639545,-0.523513,0.8,1221000.0,164.84744672806121,74.72,243.95604395604394
6,12/01/2022,Vente,658000.0,0,1,130.0,4.0,265.0,47.42308,-0.526086,0.71,3619000.0,69.89831222855891,52.03,2483.0188679245284
7,14/01/2022,Vente,260000.0,0,1,89.0,4.0,463.0,47.613144,-0.465389,0.78,1430000.0,37.815591714539366,74.72,561.5550755939524
8,13/01/2022,Vente,243000.0,0,1,92.0,4.0,866.0,47.60568,-0.458534,0.7,1336500.0,65.65816427463716,74.72,280.6004618937644
9,14/01/2022,Vente,100000.0,0,3,175.0,0.0,1550.0,47.572194,-0.432437,0.8,550000.0,89.75322637825315,103.91,64.51612903225806
10,14/01/2022,Vente,460000.0,0,1,96.0,7.0,128.0,47.466616,-0.540678,0.73,2530000.0,18.458711045426742,24.31,3593.75
11,19/01/2022,Vente,600000.0,0,3,397.0,0.0,111.0,47.473916,-0.554581,0.71,3300000.0,15.731858601070755,24.31,5405.405405405405
12,19/01/2022,Vente,600000.0,0,3,231.0,0.0,111.0,47.473916,-0.554581,0.71,3300000.0,15.731858601070755,24.31,5405.405405405405
13,11/01/2022,Vente,245000.0,0,1,93.0,5.0,486.0,47.43975,-0.527266,0.75,1347500.0,29.189010024760268,52.03,504.1152263374486
14,10/01/2022,Vente,180000.0,0,1,89.0,5.0,160.0,47.477433,-0.538425,0.79,990000.0,13.320809326966035,24.31,1125.0
15,20/01/2022,Vente,460000.0,0,1,210.0,5.0,2211.0,47.629568,-0.442533,0.74,2530000.0,111.11175168058301,74.72,208.05065581184985
16,18/01/2022,Vente,325000.0,0,1,96.0,5.0,386.0,47.485664,-0.517768,0.83,1787500.0,23.169803047442635,24.31,841.9689119170985
17,19/01/2022,Vente,240000.0,0,1,110.0,5.0,623.0,47.563103,-0.506243,0.79,1320000.0,112.56901309891846,74.72,385.2327447833066
18,14/01/2022,Vente,590000.0,1,3,588.0,0.0,388.0,47.480325,-0.520012,0.8,3245000.0,24.686858606286222,24.31,1520.618556701031
19,19/01/2022,Vente,150000.0,0,1,63.0,3.0,488.0,47.614725,-0.473898,0.7,825000.0,41.806084657203584,74.72,307.37704918032784
20,20/01/2022,Vente,211000.0,0,1,92.0,6.0,367.0,47.618575,-0.459537,0.8,1160500.0,58.522959905391886,74.72,574.9318801089918
21,03/01/2022,Vente,590000.0,0,1,190.0,5.0,290.0,47.445622,-0.510085,0.84,3245000.0,34.413429692434356,52.03,2034.4827586206898
22,26/01/2022,Vente,210000.0,0,1,101.0,4.0,758.0,47.576202,-0.487969,0.71,1155000.0,60.849315050119294,74.72,277.0448548812665
23,13/01/2022,Vente,317000.0,0,1,105.0,5.0,421.0,47.48015,-0.524209,0.79,1743500.0,25.56070773010747,24.31,752.9691211401425
24,10/01/2022,Vente,200500.0,0,1,60.0,3.0,584.0,47.521762,-0.433816,0.85,1102750.0,45.408762300583504,103.91,343.32191780821915
25,10/01/2022,Vente,200500.0,0,1,60.0,3.0,691.0,47.521762,-0.433816,0.85,1102750.0,45.408762300583504,103.91,290.15918958031835
