,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
0,05/01/2022,Vente,"300000,00",0,Maison,137.0,6.0,1646.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France,47.616934,-0.474118,11 Impasse de la Rouairie 49125 Tiercé,0.73,housenumber,49347_0149_00011,11,Impasse de la Rouairie,,49125,Tiercé,"49, Maine-et-Loire, Pays de la Loire",49347,,,,ok
1,05/01/2022,Vente,"300000,00",0,Maison,137.0,6.0,500.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France,47.616934,-0.474118,11 Impasse de la Rouairie 49125 Tiercé,0.73,housenumber,49347_0149_00011,11,Impasse de la Rouairie,,49125,Tiercé,"49, Maine-et-Loire, Pays de la Loire",49347,,,,ok
2,07/01/2022,Vente,"316500,00",0,Maison,54.0,3.0,119.0,11 IMP MARCHETEAU ANGERS 49100 France,47.475606,-0.535905,11 Rue Marcheteau 49100 Angers,0.63,housenumber,49007_5201_00011,11,Rue Marcheteau,,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
3,10/01/2022,Vente,"162000,00",0,Maison,77.0,4.0,807.0,2 RUE DU BOIS AU JUGE FENEU 49460 France,47.574252,-0.595483,2 Rue du Bois au Juge 49460 Feneu,0.79,housenumber,49135_0006_00002,2,Rue du Bois au Juge,,49460,Feneu,"49, Maine-et-Loire, Pays de la Loire",49135,,,,ok
4,10/01/2022,Vente,"398000,00",0,Maison,138.0,7.0,505.0,9 MAIL CLAUDE DEBUSSY TIERCE 49125 France,47.617099,-0.464666,9 Mail Claude Debussy 49125 Tiercé,0.79,housenumber,49347_0058_00009,9,Mail Claude Debussy,,49125,Tiercé,"49, Maine-et-Loire, Pays de la Loire",49347,,,,ok
5,10/01/2022,Vente,"650000,00",0,Maison,151.0,5.0,377.0,110 RUE DU QUINCONCE ANGERS 49100 France,47.466873,-0.537922,110 Rue du Quinconce 49100 Angers,0.82,housenumber,49007_6590_00110,110,Rue du Quinconce,,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
6,10/01/2022,Vente,"85000,00",0,Maison,43.0,2.0,617.0,5493   LES BAILLIS LOIRE-AUTHION 49800 France,47.424472,-0.454062,Les Baillis (La Daguenière) 49800 Loire-Authion,0.55,locality,49307_i3t41k,,Les Baillis (La Daguenière),,49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49117,La Daguenière,,ok
7,07/01/2022,Vente,"625000,00",0,Local industriel. commercial ou assimilé,1250.0,0.0,3392.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France,47.478928,-0.39042,2 Route des Hautes Chapelles 49800 Loire-Authion,0.78,housenumber,49004_0022_00002,2,Route des Hautes Chapelles,,49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49004,Andard,,ok
8,07/01/2022,Vente,"625000,00",0,Local industriel. commercial ou assimilé,1420.0,0.0,3466.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France,47.478928,-0.39042,2 Route des Hautes Chapelles 49800 Loire-Authion,0.78,housenumber,49004_0022_00002,2,Route des Hautes Chapelles,,49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49004,Andard,,ok
9,06/01/2022,Vente,"310000,00",0,Maison,96.0,5.0,400.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France,47.443564,-0.492665,29 Rue Louis Monternault 49800 Trélazé,0.82,housenumber,49353_0645_00029,29,Rue Louis Monternault,,49800,Trélazé,"49, Maine-et-Loire, Pays de la Loire",49353,,,,ok
10,06/01/2022,Vente,"310000,00",0,Maison,96.0,5.0,630.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France,47.443564,-0.492665,29 Rue Louis Monternault 49800 Trélazé,0.82,housenumber,49353_0645_00029,29,Rue Louis Monternault,,49800,Trélazé,"49, Maine-et-Loire, Pays de la Loire",49353,,,,ok
11,12/01/2022,Vente,"222000,00",0,Maison,90.0,4.0,910.0,6   HAMEAU DE PLANTEROSE CHEFFES 49125 France,47.639545,-0.523513,6 Hameau de Planterose 49125 Cheffes,0.8,housenumber,49090_b690_00006,6,Hameau de Planterose,,49125,Cheffes,"49, Maine-et-Loire, Pays de la Loire",49090,,,,ok
12,10/01/2022,Vente,"78875,00",0,Maison,59.0,3.0,493.0,8 RUE DE MALMOUCHE SAINT-BARTHELEMY-D ANJOU 49124 France,47.469868,-0.518349,8 Rue de Malmouche 49124 Saint-Barthélemy-d'Anjou,0.85,housenumber,49267_0279_00008,8,Rue de Malmouche,,49124,Saint-Barthélemy-d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49267,,,,ok
