,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse
0,05/01/2022,Vente,"300000,00",0,Maison,137.0,6.0,1646.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France
1,05/01/2022,Vente,"300000,00",0,Maison,137.0,6.0,500.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France
2,07/01/2022,Vente,"316500,00",0,Maison,54.0,3.0,119.0,11 IMP MARCHETEAU ANGERS 49100 France
3,10/01/2022,Vente,"162000,00",0,Maison,77.0,4.0,807.0,2 RUE DU BOIS AU JUGE FENEU 49460 France
4,10/01/2022,Vente,"398000,00",0,Maison,138.0,7.0,505.0,9 MAIL CLAUDE DEBUSSY TIERCE 49125 France
5,10/01/2022,Vente,"650000,00",0,Maison,151.0,5.0,377.0,110 RUE DU QUINCONCE ANGERS 49100 France
6,10/01/2022,Vente,"85000,00",0,Maison,43.0,2.0,617.0,5493   LES BAILLIS LOIRE-AUTHION 49800 France
7,07/01/2022,Vente,"625000,00",0,Local industriel. commercial ou assimilé,1250.0,0.0,3392.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France
8,07/01/2022,Vente,"625000,00",0,Local industriel. commercial ou assimilé,1420.0,0.0,3466.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France
9,06/01/2022,Vente,"310000,00",0,Maison,96.0,5.0,400.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France
10,06/01/2022,Vente,"310000,00",0,Maison,96.0,5.0,630.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France
11,12/01/2022,Vente,"222000,00",0,Maison,90.0,4.0,910.0,6   HAMEAU DE PLANTEROSE CHEFFES 49125 France
12,10/01/2022,Vente,"78875,00",0,Maison,59.0,3.0,493.0,8 RUE DE MALMOUCHE SAINT-BARTHELEMY-D ANJOU 49124 France
13,05/01/2022,Vente,"102000,00",0,Maison,120.0,7.0,310.0,28 RUE NATIONALE VERRIERES-EN-ANJOU 49112 France
14,12/01/2022,Vente,"658000,00",0,Maison,130.0,4.0,265.0,4 RUE DU PORT DES NOUES LES PONTS DE CE 49130 France
15,14/01/2022,Vente,"286000,00",0,Maison,115.0,7.0,379.0,24 RUE DE LA GABELLE SAINT-BARTHELEMY-D ANJOU 49124 France
16,14/01/2022,Vente,"260000,00",0,Maison,89.0,4.0,463.0,1 RUE SAINTE ANNE TIERCE 49125 France
17,13/01/2022,Vente,"243000,00",0,Maison,92.0,4.0,866.0,546 CHE DU CARREFOUR TIERCE 49125 France
18,14/01/2022,Vente,"100000,00",0,Local industriel. commercial ou assimilé,175.0,0.0,1550.0,5 CHE DE LA ZA DE LA SIGONNIERE RIVES-DU-LOIR-EN-ANJOU 49140 France
19,14/01/2022,Vente,"320000,00",0,Maison,111.0,5.0,523.0,11 RUE EDITH PIAF TRELAZE 49800 France
20,17/01/2022,Vente,"431000,00",0,Maison,185.0,5.0,642.0,1 RUE DE LA CHOUETTE CHEVECHE LOIRE-AUTHION 49800 France
21,11/01/2022,Vente,"155000,00",0,Local industriel. commercial ou assimilé,98.0,0.0,212.0,187 RUE FERDINAND VEST TRELAZE 49800 France
22,14/01/2022,Vente,"220000,00",0,Maison,87.0,4.0,410.0,26 LOT VILLAGE DES PLAINES TRELAZE 49800 France
23,07/01/2022,Vente,"407800,00",0,Maison,122.0,6.0,400.0,4 CHE DU CLOS DES MURAILLES SAINT-MELAINE-SUR-AUBANCE 49610 France
24,07/01/2022,Vente,"186500,00",0,Maison,71.0,2.0,506.0,126 LEVE JEANNE DE LAVAL (ST MATHUR LOIRE-AUTHION 49250 France
25,14/01/2022,Vente,"460000,00",0,Maison,96.0,7.0,128.0,13 RUE HENRI GREVILLE ANGERS 49100 France
26,10/01/2022,Vente,"368000,00",0,Maison,145.0,6.0,370.0,15 RUE DE MALMOUCHE SAINT-BARTHELEMY-D ANJOU 49124 France
27,10/01/2022,Vente,"245000,00",0,Maison,113.0,8.0,603.0,1 RUE DES CERISIERS PLESSIS-GRAMMOIRE (LE) 49124 France
28,19/01/2022,Vente,"600000,00",0,Local industriel. commercial ou assimilé,397.0,0.0,111.0,11 PL MOLIERE ANGERS 49100 France
29,19/01/2022,Vente,"600000,00",0,Local industriel. commercial ou assimilé,231.0,0.0,111.0,11 PL MOLIERE ANGERS 49100 France
30,17/01/2022,Vente,"295000,00",0,Maison,107.0,5.0,601.0,52 RUE DU PRE D ASNIERE LOIRE-AUTHION 49800 France
31,11/01/2022,Vente,"205000,00",0,Maison,58.0,4.0,417.0,16 RUE JEAN MOULIN SAINT-BARTHELEMY-D ANJOU 49124 France
32,21/01/2022,Vente,"232227,00",0,Maison,44.0,3.0,392.0,22 RUE ROGER SALENGRO ANGERS 49000 France
33,11/01/2022,Vente,"245000,00",0,Maison,93.0,5.0,486.0,62 RUE DU 11 NOVEMBRE LES PONTS DE CE 49130 France
34,20/01/2022,Vente,"214000,00",0,Maison,73.0,3.0,518.0,9 RUE DE SAVAR LOIRE-AUTHION 49250 France
35,06/01/2022,Vente,"180000,00",0,Maison,90.0,5.0,486.0,3 SQ DE L'AIGUILLON LES GARENNES SUR LOIRE 49320 France
36,10/01/2022,Vente,"180000,00",0,Maison,89.0,5.0,160.0,28 RUE DU LUTIN ANGERS 49100 France
37,05/01/2022,Vente,"370000,00",0,Maison,85.0,5.0,151.0,9 RUE AUGUSTE FONTENEAU ANGERS 49000 France
38,20/01/2022,Vente,"460000,00",0,Maison,210.0,5.0,2211.0,1672 RTE DES CINQ ROUTES TIERCE 49125 France
39,13/01/2022,Vente,"385000,00",0,Maison,105.0,5.0,845.0,5 SQ DES CERISIERS PLESSIS-GRAMMOIRE (LE) 49124 France
40,19/01/2022,Vente,"210000,00",0,Maison,95.0,5.0,217.0,7 RUE VICTOR HUGO VERRIERES-EN-ANJOU 49480 France
41,19/01/2022,Vente,"160000,00",0,Maison,130.0,5.0,571.0,8 RUE DU BEC DU LOIR ECOUFLANT 49000 France
42,18/01/2022,Vente,"325000,00",0,Maison,96.0,5.0,386.0,28 RUE DU PETIT CHAUMINEAU ANGERS 49100 France
